Player,Teams,Maps,Rounds,K-D Diff,K/D,Rating3.0
raven,,111,2239,-178,0.88,0.93
Snappi,,210,4593,-411,0.87,0.93
stanislaw,,167,3517,-422,0.82,0.93
CutzMeretz,,193,4115,-467,0.84,0.92
duggy,,100,2113,-141,0.90,0.92
emi,,161,3575,-465,0.81,0.92
laser,,143,3078,-303,0.86,0.92
Lich,,108,2352,-266,0.84,0.92
obi,,100,2202,-304,0.81,0.92
sFade8,,230,4992,-582,0.84,0.92
SHiNE,,189,4160,-493,0.82,0.92
SoLb,,185,4043,-536,0.82,0.92
The eLiVe,,243,5251,-619,0.83,0.92
birdfromsky,,103,2224,-327,0.79,0.91
chopper,,185,4040,-470,0.83,0.91
jackast,,121,2605,-303,0.83,0.91
millert,,169,3674,-294,0.88,0.91
PKL,,108,2436,-268,0.84,0.91
siuhy,,119,2609,-393,0.79,0.91
takanashi,,111,2419,-333,0.81,0.91
Vert,,155,3464,-338,0.86,0.91
AcilioN,,129,2851,-378,0.81,0.90
devoduvek,,232,5186,-713,0.80,0.90
IceBerg,,330,7185,-1251,0.77,0.90
MAJ3R,,182,4112,-486,0.82,0.90
Patti,,149,3225,-485,0.79,0.90
RICIOLI,,112,2422,-339,0.80,0.90
SPELLAN,,233,5118,-662,0.81,0.90
1962,,105,2225,-343,0.78,0.89
gejmzilla,,166,3623,-565,0.78,0.89
mASKED,,328,7234,-1154,0.78,0.89
Snax,,147,3202,-459,0.78,0.89
karrigan,,185,4083,-657,0.77,0.88
ScrunK,,256,5670,-958,0.77,0.88
BTN,,314,6951,-1141,0.77,0.85
cadiaN,,114,2530,-358,0.79,0.85
stax,,109,2383,-462,0.74,0.85
Linko,,99,2121,-434,0.72,0.84
darchevile,,100,2160,-519,0.69,0.79
