Date,Event,Opponent,Map,Result,W/L
14/11/14,ESL Pro League Winter 2014/15 German Qualifier,PENTA,Cache,16 - 7,W
14/11/14,Caseking King of Kings,London Conspiracy,Mirage,16 - 11,W
14/11/14,Caseking King of Kings,London Conspiracy,Overpass,16 - 8,W
13/11/14,Caseking King of Kings,Titan,Cobblestone,16 - 11,W
11/11/14,ESL Pro Series Germany Winter 2014,PENTA,Mirage,16 - 4,W
11/11/14,ESL Pro Series Germany Winter 2014,dotpiXels,Cache,21 - 17,W
09/11/14,Go4CS:GO Cup #120,FlipSid3,Cache,31 - 26,W
09/11/14,Go4CS:GO Cup #120,FlipSid3,Overpass,16 - 14,W
31/10/14,ESWC 2014,Cipangu.GO,Cache,16 - 4,W
31/10/14,ESWC 2014,Dignitas,Dust2,5 - 16,L
31/10/14,ESWC 2014,3DMAX,Dust2,16 - 9,W
31/10/14,ESWC 2014,iBUYPOWER,Cache,8 - 16,L
31/10/14,ESWC 2014,GPlay,Mirage,16 - 14,W
27/10/14,Fragbite Masters Season 3,Natus Vincere,Dust2,13 - 16,L
27/10/14,Fragbite Masters Season 3,Natus Vincere,Mirage,16 - 8,W
27/10/14,Fragbite Masters Season 3,Natus Vincere,Nuke,14 - 16,L
23/10/14,Fragbite Masters Season 3,Bad Monkey,Mirage,16 - 4,W
23/10/14,Fragbite Masters Season 3,Bad Monkey,Dust2,16 - 4,W
21/10/14,DreamHack Winter 2014 EU Closed Qualifier,Planetkey,Overpass,9 - 16,L
21/10/14,DreamHack Winter 2014 EU Closed Qualifier,Planetkey,Mirage,14 - 16,L
15/10/14,Fragbite Masters Season 3,LDLC,Overpass,10 - 16,L
15/10/14,Fragbite Masters Season 3,LDLC,Mirage,16 - 14,W
15/10/14,Fragbite Masters Season 3,LDLC,Dust2,6 - 16,L
07/10/14,Millenium Showmatch #2,Property,Cobblestone,16 - 6,W
07/10/14,Millenium Showmatch #2,Property,Inferno,16 - 14,W
07/10/14,Millenium Showmatch #2,Property,Cache,13 - 16,L
07/10/14,Millenium Showmatch #2,Property,Dust2,16 - 10,W
05/10/14,Fragbite Masters Season 3,Natus Vincere,Overpass,16 - 10,W
05/10/14,Fragbite Masters Season 3,Natus Vincere,Mirage,16 - 9,W
05/10/14,ESWC 2014 European Qualifier,PB,Dust2,16 - 3,W
05/10/14,ESWC 2014 European Qualifier,PB,Season,9 - 16,L
05/10/14,ESWC 2014 European Qualifier,PB,Cache,16 - 5,W
05/10/14,ESWC 2014 European Qualifier,3DMAX,Dust2,4 - 16,L
05/10/14,ESWC 2014 European Qualifier,3DMAX,Nuke,14 - 16,L
05/10/14,ESWC 2014 European Qualifier,3DMAX,Mirage,16 - 7,W
04/10/14,Fragbite Masters Season 3,Dignitas,Mirage,11 - 16,L
04/10/14,Fragbite Masters Season 3,Dignitas,Overpass,1 - 16,L
04/10/14,Fragbite Masters Season 3,Natus Vincere,Overpass,19 - 17,W
04/10/14,ESWC 2014 European Qualifier,dope,Cache,16 - 5,W
23/09/14,Game Show CS:GO League,Virtus.pro,Mirage,16 - 13,W
19/09/14,Hitbox Arena Championship 3,CPH Wolves,Cache,2 - 16,L
18/09/14,Hitbox Arena Championship 3,Virtus.pro,Mirage,14 - 16,L
18/09/14,Hitbox Arena Championship 3,Virtus.pro,Overpass,19 - 15,W
18/09/14,Hitbox Arena Championship 3,Virtus.pro,Cache,11 - 16,L
15/09/14,Game Show CS:GO League,myXMG,Dust2,8 - 16,L
15/09/14,Game Show CS:GO League,Orbit,Dust2,16 - 14,W
11/09/14,Hitbox Arena Championship 3,CPH Wolves,Cobblestone,16 - 10,W
11/09/14,Hitbox Arena Championship 3,CPH Wolves,Dust2,15 - 19,L
11/09/14,Hitbox Arena Championship 3,CPH Wolves,Overpass,16 - 6,W
09/09/14,Caseking of the Hill #7,fnatic,Mirage,6 - 16,L
09/09/14,Caseking of the Hill #7,fnatic,Dust2,1 - 16,L
06/09/14,ESL Pro Series Germany Summer 2014 LAN Finals,Planetkey,Mirage,12 - 16,L
06/09/14,ESL Pro Series Germany Summer 2014 LAN Finals,Planetkey,Inferno,16 - 14,W
06/09/14,ESL Pro Series Germany Summer 2014 LAN Finals,Planetkey,Dust2,13 - 16,L
06/09/14,ESL Pro Series Germany Summer 2014 LAN Finals,Playing Ducks,Cache,16 - 8,W
06/09/14,ESL Pro Series Germany Summer 2014 LAN Finals,Playing Ducks,Mirage,16 - 6,W
28/08/14,Hitbox Arena Championship 2,fnatic,Dust2,16 - 12,W
28/08/14,Hitbox Arena Championship 2,fnatic,Cache,16 - 9,W
28/08/14,Hitbox Arena Championship 2,fnatic,Mirage,5 - 16,L
28/08/14,Hitbox Arena Championship 2,London Conspiracy,Cache,16 - 12,W
28/08/14,Hitbox Arena Championship 2,London Conspiracy,Mirage,16 - 7,W
26/08/14,FACEIT League 2 EU Closed Qualifier,HellRaisers,Inferno,9 - 16,L
26/08/14,FACEIT League 2 EU Closed Qualifier,HellRaisers,Mirage,9 - 16,L
25/08/14,FACEIT League 2 EU Closed Qualifier,dAT,Mirage,16 - 6,W
22/08/14,Caseking of the Hill #5,Ninjas in Pyjamas,Dust2,10 - 16,L
22/08/14,Caseking of the Hill #5,Ninjas in Pyjamas,Overpass,9 - 16,L
21/08/14,Caseking of the Hill #5,London Conspiracy,Mirage,16 - 10,W
21/08/14,Caseking of the Hill #5,London Conspiracy,Overpass,16 - 14,W
21/08/14,Caseking of the Hill #5,London Conspiracy,Dust2,12 - 16,L
20/08/14,Hitbox Arena Championship 2,myXMG,Overpass,16 - 7,W
20/08/14,Hitbox Arena Championship 2,myXMG,Mirage,16 - 4,W
20/08/14,Hitbox Arena Championship 2,myXMG,Dust2,10 - 16,L
19/08/14,Hitbox Arena Championship 2,Epsilon,Mirage,16 - 12,W
11/08/14,SLTV StarSeries X,LDLC,Mirage,16 - 8,W
07/08/14,SLTV StarSeries X,Titan,Mirage,16 - 12,W
07/08/14,SLTV StarSeries X,Virtus.pro,Mirage,12 - 16,L
05/08/14,ESL Pro Series Germany Summer 2014,MTW,Dust2,16 - 6,W
05/08/14,ESL Pro Series Germany Summer 2014,myKPV,Cache,16 - 7,W
03/08/14,Gfinity 3,fnatic,Inferno,17 - 19,L
03/08/14,Gfinity 3,fnatic,Dust2,16 - 10,W
03/08/14,Gfinity 3,fnatic,Mirage,12 - 16,L
03/08/14,Gfinity 3,Titan,Mirage,3 - 16,L
02/08/14,Gfinity 3,Dignitas,Dust2,11 - 16,L
02/08/14,Gfinity 3,ESG!,Mirage,12 - 16,L
02/08/14,Gfinity 3,Virtus.pro,Cache,16 - 9,W
02/08/14,Gfinity 3,FMESPORTS,Mirage,16 - 3,W
28/07/14,SLTV StarSeries X,Natus Vincere,Mirage,16 - 9,W
27/07/14,ESL One Cologne 2014 European Finals,CPH Wolves,Inferno,11 - 16,L
27/07/14,ESL One Cologne 2014 European Finals,CPH Wolves,Dust2,10 - 16,L
26/07/14,ESL One Cologne 2014 European Finals,ESC,Train,16 - 6,W
26/07/14,ESL One Cologne 2014 European Finals,ESC,Dust2,16 - 11,W
26/07/14,ESL One Cologne 2014 European Finals,ESC,Mirage,6 - 16,L
26/07/14,ESL One Cologne 2014 European Finals,dAT,Mirage,10 - 16,L
26/07/14,ESL One Cologne 2014 European Finals,dAT,Train,8 - 16,L
17/07/14,SLTV StarSeries X,fnatic,Train,9 - 16,L
10/07/14,SLTV StarSeries X,OnlineBOTS,Mirage,16 - 3,W
09/07/14,SLTV StarSeries X,Berzerk,Dust2,16 - 8,W
06/07/14,SLTV StarSeries X,Reason,Train,16 - 10,W
06/07/14,SLTV StarSeries X,Nostalgie,Mirage,16 - 3,W
06/07/14,SLTV StarSeries X,OverGaming,Mirage,16 - 11,W
25/06/14,SLTV StarSeries X,ESC,Mirage,16 - 13,W
22/06/14,Team Dignitas CS:GO SCAN Invitational,dAT,Mirage,16 - 10,W
22/06/14,Team Dignitas CS:GO SCAN Invitational,dAT,Inferno,16 - 8,W
22/06/14,Team Dignitas CS:GO SCAN Invitational,dAT,Train,8 - 16,L
03/06/14,Hitbox Arena Championship,Titan,Inferno,11 - 16,L
03/06/14,Hitbox Arena Championship,Titan,Mirage,9 - 16,L
03/06/14,Hitbox Arena Championship,Titan,Dust2,16 - 5,W
30/05/14,DreamHack Summer 2014 Closed Qualifier,ALTERNATE aTTaX,Mirage,9 - 16,L
15/05/14,Hitbox Arena Championship,Wizards,Mirage,16 - 3,W
15/05/14,Hitbox Arena Championship,Wizards,Dust2,16 - 5,W
14/05/14,Hitbox Arena Championship,fnatic,Dust2,12 - 16,L
14/05/14,Hitbox Arena Championship,fnatic,Inferno,23 - 26,L
13/05/14,Hitbox Arena Championship,FMESPORTS,Dust2,16 - 6,W
13/05/14,Hitbox Arena Championship,FMESPORTS,Inferno,16 - 10,W
10/05/14,ESL Pro Series Germany Spring 2014,Wild Fire,Inferno,10 - 16,L
10/05/14,ESL Pro Series Germany Spring 2014,Wild Fire,Dust2,19 - 21,L
10/05/14,ESL Pro Series Germany Spring 2014,EnRo GRIFFINS,Dust2,16 - 7,W
10/05/14,ESL Pro Series Germany Spring 2014,EnRo GRIFFINS,Inferno,16 - 12,W
27/04/14,E-sport-bets.com 3rd Anniversary Cup,Reason,Inferno,10 - 16,L
25/04/14,E-sport-bets.com 3rd Anniversary Cup,Natus Vincere,Train,13 - 16,L
25/04/14,E-sport-bets.com 3rd Anniversary Cup,LGB,Inferno,5 - 16,L
25/04/14,E-sport-bets.com 3rd Anniversary Cup,Natus Vincere,Dust2,19 - 17,W
18/04/14,Copenhagen Games 2014,LDLC,Dust2,10 - 16,L
18/04/14,Copenhagen Games 2014,LDLC,Inferno,11 - 16,L
18/04/14,Copenhagen Games 2014,Avenue,Inferno,16 - 5,W
18/04/14,Copenhagen Games 2014,Avenue,Mirage,16 - 2,W
14/04/14,SLTV StarSeries IX,MYM,Train,3 - 16,L
13/04/14,SLTV StarSeries IX,Ninjas in Pyjamas,Inferno,16 - 10,W
13/04/14,SLTV StarSeries IX,Titan,Dust2,12 - 16,L
10/04/14,SLTV StarSeries IX,HellRaisers,Dust2,14 - 16,L
09/04/14,SLTV StarSeries IX,Clan-Mystik,Dust2,16 - 4,W
09/04/14,SLTV StarSeries IX,LDLC,Inferno,8 - 16,L
08/04/14,SLTV StarSeries IX,k1ck,Dust2,12 - 16,L
03/04/14,SLTV StarSeries IX,Courage,Mirage,16 - 12,W
02/04/14,Fnatic FragOut League Season 3,LDLC,Mirage,12 - 16,L
02/04/14,Fnatic FragOut League Season 3,LDLC,Train,17 - 19,L
02/04/14,SLTV StarSeries IX,Virtus.pro,Inferno,4 - 16,L
31/03/14,SLTV StarSeries IX,ALTERNATE aTTaX,Dust2,11 - 16,L
26/03/14,Fnatic FragOut League Season 3,fnatic,Mirage,16 - 5,W
26/03/14,Fnatic FragOut League Season 3,fnatic,Train,16 - 13,W
26/03/14,Fnatic FragOut League Season 3,fnatic,Inferno,11 - 16,L
25/03/14,SLTV StarSeries IX,fnatic,Train,7 - 16,L
23/03/14,Fnatic FragOut League Season 3,LDLC,Inferno,15 - 19,L
23/03/14,Fnatic FragOut League Season 3,LDLC,Dust2,14 - 16,L
21/03/14,Fragbite Masters 2014,3DMAX,Train,12 - 16,L
19/03/14,SLTV StarSeries IX,MayaM,Nuke,6 - 16,L
13/03/14,EMS One Katowice 2014,HellRaisers,Dust2,9 - 16,L
13/03/14,EMS One Katowice 2014,Titan,Dust2,5 - 16,L
11/03/14,Fragbite Masters 2014,Titan,Dust2,9 - 16,L
11/03/14,Fragbite Masters 2014,Property,Train,16 - 12,W
11/03/14,Fragbite Masters 2014,Dignitas,Nuke,9 - 16,L
06/03/14,SLTV StarSeries IX,ACES,Mirage,16 - 14,W
05/03/14,SLTV StarSeries IX,Natus Vincere,Mirage,8 - 16,L
04/03/14,Fnatic FragOut League Season 3,LGB,Inferno,16 - 9,W
04/03/14,Fnatic FragOut League Season 3,LGB,Dust2,16 - 1,W
27/02/14,EMS One Katowice European Finals,Property,Nuke,16 - 5,W
27/02/14,EMS One Katowice European Finals,Property,Train,16 - 10,W
27/02/14,EMS One Katowice European Finals,Wizards,Dust2,16 - 14,W
27/02/14,EMS One Katowice European Finals,Wizards,Nuke,16 - 14,W
26/02/14,EMS One Katowice European Finals,Reason,Nuke,12 - 16,L
26/02/14,EMS One Katowice European Finals,Reason,Train,13 - 16,L
25/02/14,EMS One Katowice European Finals,H2k,Mirage,21 - 18,W
25/02/14,EMS One Katowice European Finals,H2k,Nuke,16 - 5,W
18/02/14,Fnatic FragOut League Season 3,HellRaisers,Dust2,16 - 5,W
18/02/14,Fnatic FragOut League Season 3,HellRaisers,Nuke,16 - 6,W
18/02/14,Fnatic FragOut League Season 3,HellRaisers,Inferno,3 - 16,L
14/12/13,ESL Pro Series Germany Winter Season 2013,EnRo GRIFFINS,Season,16 - 7,W
14/12/13,ESL Pro Series Germany Winter Season 2013,EnRo GRIFFINS,Cache,16 - 12,W
14/12/13,ESL Pro Series Germany Winter Season 2013,3DMAX,Dust2,16 - 13,W
14/12/13,ESL Pro Series Germany Winter Season 2013,3DMAX,Cache,16 - 10,W
10/12/13,SLTV StarSeries VIII,UniversalSoldiers,Cache,9 - 16,L
10/12/13,SLTV StarSeries VIII,KerchNET,Inferno,10 - 16,L
09/12/13,SLTV StarSeries VIII,3DMAX,Cache,15 - 15,T
09/12/13,SLTV StarSeries VIII,iNation,Inferno,16 - 1,W
09/12/13,SLTV StarSeries VIII,Natus Vincere,Dust2,8 - 16,L
06/12/13,SLTV StarSeries VIII,USSR,Mirage,16 - 8,W
03/12/13,Fragbite Masters 2013,LGB,Mirage,13 - 16,L
02/12/13,SLTV StarSeries VIII,ACES,Train,5 - 16,L
25/11/13,ESL Pro Series Germany Winter Season 2013,ALTERNATE aTTaX,Dust2,16 - 12,W
25/11/13,ESL Pro Series Germany Winter Season 2013,Playing Ducks,Dust2,16 - 11,W
17/11/13,SLTV StarSeries VIII,Clan-Mystik,Mirage,16 - 12,W
17/11/13,SLTV StarSeries VIII,k1ck,Cache,16 - 13,W
14/11/13,SLTV StarSeries VIII,ALTERNATE aTTaX,Dust2,16 - 12,W
14/11/13,SLTV StarSeries VIII,Astana Dragons,Dust2,8 - 16,L
14/11/13,SLTV StarSeries VIII,Nostalgie,Inferno,16 - 6,W
13/11/13,FACEIT Cup October 2013,Astana Dragons,Mirage,4 - 16,L
13/11/13,FACEIT Cup October 2013,Astana Dragons,Dust2,16 - 9,W
13/11/13,FACEIT Cup October 2013,Astana Dragons,Cache,12 - 16,L
12/11/13,SLTV StarSeries VIII,LGB,Cache,16 - 14,W
10/11/13,SLTV StarSeries VIII,momo momo,Cache,16 - 1,W
04/11/13,ESL Pro Series Germany Winter 2013 Cup #5,EnRo GRIFFINS,Dust2,16 - 12,W
04/11/13,ESL Pro Series Germany Winter 2013 Cup #5,dotpiXels,Dust2,16 - 6,W
04/11/13,ESL Pro Series Germany Winter 2013 Cup #5,Wild Fire,Inferno,21 - 16,W
04/11/13,ESL Pro Series Germany Winter 2013 Cup #5,CPLAY,Cache,16 - 4,W
28/10/13,ESL Pro Series Germany Winter 2013 Cup #4,3DMAX,Dust2,16 - 21,L
26/10/13,RaidCall EMS One Fall 2013 Finals,UniversalSoldiers,Inferno,11 - 16,L
26/10/13,RaidCall EMS One Fall 2013 Finals,Ninjas in Pyjamas,Dust2,8 - 16,L
21/10/13,ESL Pro Series Germany Winter 2013 Cup #3,ALTERNATE aTTaX,Train,16 - 8,W
21/10/13,ESL Pro Series Germany Winter 2013 Cup #3,EnRo GRIFFINS,Dust2,16 - 5,W
21/10/13,ESL Pro Series Germany Winter 2013 Cup #3,pod,Cache,16 - 9,W
21/10/13,ESL Pro Series Germany Winter 2013 Cup #3,Planetkey,Inferno,16 - 6,W
30/03/13,Copenhagen Games 2013,Western Wolves,Inferno_se,9 - 16,L
30/03/13,Copenhagen Games 2013,Anexis,Mirage_ce,16 - 10,W
30/03/13,Copenhagen Games 2013,Quantic,Inferno_se,5 - 16,L
30/03/13,Copenhagen Games 2013,Quantic,Train_se,4 - 16,L
30/03/13,Copenhagen Games 2013,WRTT,Mirage_ce,16 - 4,W
30/03/13,Copenhagen Games 2013,WRTT,Inferno_se,16 - 4,W
29/03/13,Copenhagen Games 2013,n!faculty,Dust2_se,16 - 4,W
29/03/13,Copenhagen Games 2013,n!faculty,Nuke_se,16 - 9,W
29/03/13,Copenhagen Games 2013,ESC,Dust2_se,16 - 11,W
29/03/13,Copenhagen Games 2013,ESC,Inferno_se,16 - 3,W
29/03/13,Copenhagen Games 2013,KILLERFISH,Dust2_se,16 - 13,W
29/03/13,Copenhagen Games 2013,KILLERFISH,Mirage_ce,16 - 9,W
29/03/13,Copenhagen Games 2013,KILLERFISH,Inferno_se,14 - 16,L
26/03/13,ESL Pro Series Germany Spring Season 2013,SNOGARD Dragons,Inferno_se,16 - 2,W
24/03/13,SLTV StarSeries V,Imaginary,Inferno_se,16 - 12,W
24/03/13,SLTV StarSeries V,Russian Roulette,Mirage_ce,16 - 9,W
21/03/13,ESL Pro Series Germany Spring Season 2013,gamed!de,Train_se,16 - 9,W
21/03/13,ESL Pro Series Germany Spring Season 2013,EYES ON U,Dust2_se,16 - 9,W
18/03/13,SLTV StarSeries V,ALTERNATE aTTaX,Dust2_se,14 - 16,L
18/03/13,SLTV StarSeries V,zNation,Dust2_se,2 - 16,L
17/03/13,SLTV StarSeries V,ESC,Inferno_se,16 - 14,W
14/03/13,ESL Pro Series Germany Spring Season 2013,CPLAY,Mirage_ce,16 - 6,W
13/03/13,RaidCall EMS One Spring 2013 Cup #4,VeryGames,Dust2_se,12 - 16,L
12/03/13,SLTV StarSeries V,fnatic,Mirage_ce,5 - 16,L
12/03/13,ESL Pro Series Germany Spring Season 2013,ALTERNATE aTTaX,Nuke_se,7 - 16,L
10/03/13,SLTV StarSeries V,3DMAX,Inferno_se,16 - 14,W
10/03/13,ESL Pro Series Germany Spring Season 2013,w4sp,Inferno_se,4 - 16,L
06/03/13,ESL Pro Series Germany Spring Season 2013,n!faculty,Mirage_ce,16 - 14,W
05/03/13,ESL Pro Series Germany Spring Season 2013,dotpiXels,Dust2_se,16 - 12,W
05/03/13,SLTV StarSeries V,Natus Vincere,Mirage_ce,11 - 16,L
03/03/13,SLTV StarSeries V,Ninjas in Pyjamas,Train_se,6 - 16,L
03/03/13,SLTV StarSeries V,Virtus.pro,Mirage_ce,16 - 13,W
28/02/13,ESL Pro Series Germany Spring Season 2013,DRUCKWELLE,Train_se,16 - 5,W
27/02/13,RaidCall EMS One Spring 2013 Cup #3,LowLandLions,Mirage_ce,9 - 16,L
26/02/13,SLTV StarSeries V,VeryGames,Inferno_se,13 - 16,L
21/02/13,ESL Pro Series Germany Spring Season 2013,iPLAY,Nuke_se,13 - 16,L
19/02/13,SLTV StarSeries V,Anexis,Inferno_se,11 - 16,L
19/02/13,ESL Pro Series Germany Spring Season 2013,MTF Gaming,Inferno_se,16 - 4,W
03/02/13,Fnatic FragOut CS:GO League,Anexis,Train_se,4 - 16,L
03/02/13,Fnatic FragOut CS:GO League,Anexis,Dust2_se,16 - 12,W
03/02/13,Fnatic FragOut CS:GO League,Anexis,Inferno_se,12 - 16,L
31/01/13,Fnatic FragOut CS:GO League,VeryGames,Dust2_se,6 - 16,L
30/01/13,Fnatic FragOut CS:GO League,fnatic,Nuke_se,13 - 16,L
28/01/13,Fnatic FragOut CS:GO League,Virtus.pro,Train_se,16 - 4,W
13/12/12,RADEON Offensive by 99Damage,fnatic,Mirage_ce,4 - 16,L
11/12/12,RADEON Offensive by 99Damage,n!faculty,Nuke_se,16 - 7,W
06/12/12,SLTV StarSeries IV,Natus Vincere,Dust2_se,16 - 9,W
06/12/12,SLTV StarSeries IV,RuSh3D,Dust2_se,16 - 7,W
06/12/12,SLTV StarSeries IV,ALTERNATE aTTaX,Inferno_se,16 - 7,W
28/11/12,SLTV StarSeries IV,KerchNET,Mirage_ce,16 - 4,W
26/11/12,SLTV StarSeries IV,Imaginary,Nuke_se,16 - 7,W
13/11/12,DreamHack Winter 2012 International Qual.,3DMAX,Mirage_ce,6 - 16,L
13/11/12,DreamHack Winter 2012 International Qual.,3DMAX,Nuke_se,16 - 14,W
13/11/12,DreamHack Winter 2012 International Qual.,3DMAX,Dust2_se,11 - 16,L
12/11/12,DreamHack Winter 2012 International Qual.,BX3,Nuke_se,16 - 5,W
12/11/12,DreamHack Winter 2012 International Qual.,BX3,Dust2_se,16 - 2,W
06/11/12,ESL Pro Series Germany Winter Season 2012,Tt Dragons,Nuke_se,16 - 6,W
03/11/12,ESWC 2012,Ninjas in Pyjamas,Dust2_se,5 - 16,L
02/11/12,ESWC 2012,Area 51,Nuke_se,15 - 15,T
02/11/12,ESWC 2012,ProGaming.TD,Train_se,16 - 8,W
02/11/12,ESWC 2012,LowLandLions,Mirage_ce,16 - 14,W
30/10/12,ESL Pro Series Germany Winter Season 2012,dotpiXels,Inferno_se,16 - 13,W
25/10/12,ESL Pro Series Germany Winter Season 2012,SFTO,Mirage_ce,16 - 9,W
25/10/12,ESL Pro Series Germany Winter Season 2012,n!faculty,Dust2_se,15 - 15,T
18/10/12,ESL Pro Series Germany Winter Season 2012,gamed!de,Nuke_se,15 - 15,T
16/10/12,ESL Pro Series Germany Winter Season 2012,iPLAY,Train_se,16 - 11,W
15/10/12,ESWC 2012 German Qualifier,mTw,Dust2_se,22 - 20,W
15/10/12,ESWC 2012 German Qualifier,mTw,Inferno_se,11 - 16,L
15/10/12,ESWC 2012 German Qualifier,mTw,Train_se,16 - 11,W
11/10/12,ESL Pro Series Germany Winter Season 2012,Red Dead,Inferno_se,16 - 2,W
10/10/12,ESWC 2012 German Qualifier,Tt Dragons,Mirage_ce,16 - 8,W
10/10/12,ESWC 2012 German Qualifier,Tt Dragons,Dust2_se,16 - 7,W
10/10/12,ESL Pro Series Germany Winter Season 2012,ALTERNATE aTTaX,Dust2_se,16 - 7,W
09/10/12,ESL Pro Series Germany Winter Season 2012,CPLAY,Mirage_ce,16 - 3,W
08/10/12,ESWC 2012 German Qualifier,ALTERNATE aTTaX,Nuke_se,16 - 9,W
08/10/12,ESWC 2012 German Qualifier,ALTERNATE aTTaX,Inferno_se,16 - 3,W
03/10/12,ESWC 2012 German Qualifier,logiX,Nuke_se,16 - 10,W
03/10/12,ESWC 2012 German Qualifier,logiX,Dust2_se,16 - 0,W
02/10/12,ESL Pro Series Germany Winter Season 2012,logiX,Nuke_se,16 - 11,W
Team context,,,,,
MOUZ,,,,,
Navigation,,,,,
OverviewPlayersTeamsOverviewFTUPistol roundsMatchesEventsMapsLeaderboardsCompare,,,,,
1.6 stats section,,,,,
Search stats,,,,,
Version,,,,,
BothCS2CSGO,,,,,
Filters,,,,,
Event type,,,,,
All matchesMajorsBig eventsLANOnline,,,,,
Time,,,,,
All timeLast monthLast 3 monthsLast 6 monthsLast 12 months20252024202320222021202020192018201720162015201420132012,,,,,
Ranking,,,,,
AllTop 5Top 10Top 20Top 30Top 50,,,,,
Best Of X,,,,,
AllBest of 1Best of 3Best of 5,,,,,
Valve Ranked,,,,,
BothRankedUnranked,,,,,
Match type,,,,,
All matchesGrand finalPlayoffsPre-playoff,,,,,
Maps,,,,,
AllAncientDust2InfernoMirageNukeOverpassTrainAnubisCacheCobblestoneSeasonTuscanVertigo,,,,,
Maps in filter,,,,,
"2,436",,,,,
Now playing,,,,,
500Bros,,,,,
5904 viewers,,,,,
Top streams,,,,,
All(37),,,,,
Casters(25),,,,,
Streamers(7),,,,,
Organizers(5),,,,,
